Nb_sac, Nb_obj, Temps (s), MAX_ITER, NBR_BEE, FLIP, MAX_CHANCES, FITNESS, VALEUR_TOTAL
5, 100, 0.1531013, 10, 5, 8, 2, 49413.0000068711, 35158
5, 100, 0.1969258, 10, 5, 8, 3, 49413.0000068711, 35158
5, 100, 0.160201, 10, 5, 8, 4, 49413.0000068711, 35158
5, 100, 0.1874715, 10, 5, 8, 5, 49413.0000068711, 35158
5, 100, 0.1627155, 10, 5, 8, 6, 49413.0000068711, 35158
5, 100, 0.2017753, 10, 5, 8, 7, 49420.0000068711, 36484
5, 100, 0.1752412, 10, 5, 8, 8, 49420.0000068711, 36484
5, 100, 0.1965181, 10, 5, 8, 9, 49420.0000068711, 36484
5, 100, 0.1778494, 10, 5, 8, 10, 49422.0000068711, 32124
5, 100, 0.3084222, 10, 5, 9, 1, 48299.00000695333, 31289
5, 100, 0.191544, 10, 5, 9, 2, 49422.0000068711, 32124
5, 100, 0.2494657, 10, 5, 9, 3, 49422.0000068711, 32124
5, 100, 0.2307486, 10, 5, 9, 4, 49422.0000068711, 32124
5, 100, 0.2797861, 10, 5, 9, 5, 49422.0000068711, 32124
5, 100, 0.300509, 10, 5, 9, 6, 49422.0000068711, 32124
5, 100, 0.2321312, 10, 5, 9, 7, 49422.0000068711, 32124
5, 100, 0.3300534, 10, 5, 9, 8, 49422.0000068711, 32124
5, 100, 0.3061324, 10, 5, 9, 9, 49422.0000068711, 32124
5, 100, 0.2969842, 10, 5, 9, 10, 49422.0000068711, 32124
5, 100, 0.3751574, 10, 5, 10, 1, 47711.000006880706, 27174
5, 100, 0.362055, 10, 5, 10, 2, 49422.0000068711, 32124
5, 100, 0.3056494, 10, 5, 10, 3, 49422.0000068711, 32124
5, 100, 0.3771255, 10, 5, 10, 4, 49422.0000068711, 32124
5, 100, 0.4329767, 10, 5, 10, 5, 49422.0000068711, 32124
5, 100, 0.3799884, 10, 5, 10, 6, 49422.0000068711, 32124
5, 100, 0.3574241, 10, 5, 10, 7, 49422.0000068711, 32124
5, 100, 0.4286519, 10, 5, 10, 8, 49425.0000068711, 34333
5, 100, 0.4252111, 10, 5, 10, 9, 49425.0000068711, 34333
5, 100, 0.3591778, 10, 5, 10, 10, 49425.0000068711, 34333
5, 100, 0.430399, 10, 5, 11, 1, 48228.000006729475, 33451
5, 100, 0.3128032, 10, 5, 11, 2, 49425.0000068711, 34333
5, 100, 0.3312012, 10, 5, 11, 3, 49425.0000068711, 34333
5, 100, 0.3076755, 10, 5, 11, 4, 49425.0000068711, 34333
5, 100, 0.3322339, 10, 5, 11, 5, 49425.0000068711, 34333
5, 100, 0.3629633, 10, 5, 11, 6, 49425.0000068711, 34333
5, 100, 0.3951566, 10, 5, 11, 7, 49425.0000068711, 34333
5, 100, 0.4166904, 10, 5, 11, 8, 49425.0000068711, 34333
5, 100, 0.4517554, 10, 5, 11, 9, 49425.0000068711, 34333
5, 100, 0.45974, 10, 5, 11, 10, 49425.0000068711, 34333
5, 100, 0.4763984, 10, 5, 12, 1, 48707.00000697418, 30375
5, 100, 0.4151536, 10, 5, 12, 2, 49425.0000068711, 34333
5, 100, 0.5118736, 10, 5, 12, 3, 49425.0000068711, 34333
5, 100, 0.3919493, 10, 5, 12, 4, 49425.0000068711, 34333
5, 100, 0.3781452, 10, 5, 12, 5, 49425.0000068711, 34333
5, 100, 0.4313257, 10, 5, 12, 6, 49425.0000068711, 34333
5, 100, 0.5180719, 10, 5, 12, 7, 49425.0000068711, 34333
5, 100, 0.415647, 10, 5, 12, 8, 49425.0000068711, 34333
5, 100, 0.4159482, 10, 5, 12, 9, 49425.0000068711, 34333
5, 100, 0.447902, 10, 5, 12, 10, 49425.0000068711, 34333
5, 100, 0.4944762, 10, 5, 13, 1, 47838.000006873845, 31617
5, 100, 0.4687531, 10, 5, 13, 2, 49425.0000068711, 34333
5, 100, 0.4635762, 10, 5, 13, 3, 49425.0000068711, 34333
5, 100, 0.4792471, 10, 5, 13, 4, 49425.0000068711, 34333
5, 100, 0.4547374, 10, 5, 13, 5, 49425.0000068711, 34333
5, 100, 0.4500521, 10, 5, 13, 6, 49425.0000068711, 34333
5, 100, 0.4665919, 10, 5, 13, 7, 49425.0000068711, 34333
5, 100, 0.4623162, 10, 5, 13, 8, 49425.0000068711, 34333
