Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
39, 1300, BSO, 7.2157877, 1522852
39, 1300, GA, 3.4458927, 1985856
41, 1300, BSO, 5.1009725, 1534044
41, 1300, GA, 3.7036894, 1964953
43, 1300, BSO, 4.6825447, 1509996
43, 1300, GA, 3.9839614, 1980568
45, 1300, BSO, 5.0329455, 1488518
45, 1300, GA, 3.9520959, 1934291
47, 1300, BSO, 10.8033664, 1519866
47, 1300, GA, 4.2906468, 1991089
49, 1300, BSO, 5.6799672, 1524882
49, 1300, GA, 4.1843059, 1971599
1, 1400, BSO, 0.2418419, 1482872
1, 1400, GA, 0.1996043, 1077588
3, 1400, BSO, 0.2904853, 1527333
3, 1400, GA, 0.3845854, 1851987
5, 1400, BSO, 0.3032753, 1458411
5, 1400, GA, 0.5776347, 2003700
7, 1400, BSO, 0.3834052, 1518570
7, 1400, GA, 0.7315462, 2087314
9, 1400, BSO, 0.4800718, 1499551
9, 1400, GA, 0.922526, 2112579
11, 1400, BSO, 0.6035831, 1499055
11, 1400, GA, 1.1980816, 2100205
13, 1400, BSO, 0.7543004, 1465940
13, 1400, GA, 1.2593761, 2115394
15, 1400, BSO, 0.8610252, 1459434
15, 1400, GA, 1.4324777, 2042801
17, 1400, BSO, 1.0412744, 1501588
17, 1400, GA, 1.6065143, 2086553
19, 1400, BSO, 1.3320743, 1521658
19, 1400, GA, 1.8226008, 2127951
21, 1400, BSO, 2.5802455, 1481745
21, 1400, GA, 1.9580634, 2101107
23, 1400, BSO, 1.6536121, 1500561
23, 1400, GA, 2.1461173, 2049610
25, 1400, BSO, 2.1665515, 1495753
25, 1400, GA, 2.646932, 2105989
27, 1400, BSO, 0.2703234, 1555091
27, 1400, GA, 2.6682086, 2121687
29, 1400, BSO, 2.7220648, 1499506
29, 1400, GA, 2.9251405, 2097022
31, 1400, BSO, 3.044774, 1418426
31, 1400, GA, 2.890182, 2041382
33, 1400, BSO, 3.456947, 1532271
