Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
43, 400, GA, 1.1147219, 588240
45, 400, BSO, 0.4485641, 246523
45, 400, GA, 1.1680874, 628064
47, 400, BSO, 0.4962802, 263616
47, 400, GA, 1.2409873, 608902
49, 400, BSO, 0.0833338, 259592
49, 400, GA, 1.2795757, 592627
1, 500, BSO, 0.0676765, 265858
1, 500, GA, 0.066933, 400835
3, 500, BSO, 0.0823249, 256437
3, 500, GA, 0.150392, 642863
5, 500, BSO, 0.0759339, 253728
5, 500, GA, 0.2031224, 746859
7, 500, BSO, 0.0840601, 262986
7, 500, GA, 0.2687359, 758532
9, 500, BSO, 0.0816864, 279587
9, 500, GA, 0.6320268, 770110
11, 500, BSO, 0.1557447, 252869
11, 500, GA, 0.4050282, 760934
13, 500, BSO, 0.1365237, 276164
13, 500, GA, 0.4618939, 749556
15, 500, BSO, 0.1467519, 236035
15, 500, GA, 0.5140568, 710008
17, 500, BSO, 0.1601447, 264966
17, 500, GA, 0.5818883, 763045
19, 500, BSO, 0.0756098, 267747
19, 500, GA, 0.6420683, 761754
21, 500, BSO, 0.2265963, 263879
21, 500, GA, 0.7157723, 741920
23, 500, BSO, 0.2462393, 269606
23, 500, GA, 0.7688331, 769141
25, 500, BSO, 0.0761434, 272003
25, 500, GA, 0.8344084, 786672
27, 500, BSO, 0.0772841, 274506
27, 500, GA, 0.8950043, 734457
29, 500, BSO, 0.0822851, 254203
29, 500, GA, 1.0177056, 726184
31, 500, BSO, 0.3813093, 271133
31, 500, GA, 1.0162791, 760129
33, 500, BSO, 0.7940234, 255324
33, 500, GA, 1.2903375, 755515
35, 500, BSO, 0.0897137, 250020
35, 500, GA, 1.175993, 756640
37, 500, BSO, 1.0078275, 274678
37, 500, GA, 1.1791415, 772826
39, 500, BSO, 0.6396665, 266629
39, 500, GA, 1.3334774, 765807
41, 500, BSO, 0.5936907, 273915
41, 500, GA, 1.3180701, 746381
43, 500, BSO, 0.7107109, 251151
43, 500, GA, 1.4153253, 780669
45, 500, BSO, 0.1129398, 265935
45, 500, GA, 1.6209084, 733185
47, 500, BSO, 0.1049626, 266463
47, 500, GA, 1.4480005, 771911
49, 500, BSO, 0.8037133, 268053
49, 500, GA, 1.5304001, 759489
1, 600, BSO, 0.0869693, 267809
1, 600, GA, 0.0680503, 437519
3, 600, BSO, 0.0995323, 300013
3, 600, GA, 0.1591018, 805732
5, 600, BSO, 0.1074355, 301691
5, 600, GA, 0.2316973, 887072
7, 600, BSO, 0.1476246, 289982
7, 600, GA, 0.3090606, 907726
9, 600, BSO, 0.1376145, 286211
9, 600, GA, 0.3800909, 911940
11, 600, BSO, 0.1623335, 268353
11, 600, GA, 0.4550274, 889506
13, 600, BSO, 0.176636, 268286
13, 600, GA, 0.5247429, 892678
15, 600, BSO, 0.0993135, 287060
15, 600, GA, 0.5913705, 899303
